Category,Course Title,Course Code,R1 Points,Course Level,HE Institution,AQA,Year
Business and administration,International Business,AC120,278,8,American College,False,2025
Humanities (except languages),Liberal Arts,AC137,293,8,American College,False,2025
Arts,First Year Art and Design  (Common Entry -  portfolio),AD101,515,8,National College of Art and Design,False,2025
Arts,Graphic Design and Moving Image Design (portfolio),AD102,538,8,National College of Art and Design,False,2025
Arts,Textile and Surface Design and Jewellery and Objects (portfolio),AD103,514,8,National College of Art and Design,False,2025
Arts,Fine Art and Applied Art (portfolio),AD104,582,8,National College of Art and Design,False,2025
Education,Education and Art  or Design (Second Level Teaching - portfolio),AD202,600,8,National College of Art and Design,False,2025
Arts,Fashion Design (portfolio),AD211,604,8,National College of Art and Design,False,2025
Arts,Product Design (portfolio),AD212,413,8,National College of Art and Design,False,2025
Arts,Visual Culture,AD215,316,8,National College of Art and Design,False,2025
Arts,Illustration (portfolio),AD217,657,8,National College of Art and Design,False,2025
Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,400,8,National College of Art and Design,False,2025
Health,Health Science with Physiotherapy Studies,AU170,522,6,Atlantic Technological University,False,2025
Health,Health Science with Occupational Therapy Studies,AU171,490,6,Atlantic Technological University,False,2025
Health,Health Science with Dietetics Studies,AU172,359,6,Atlantic Technological University,False,2025
Health,Dental Nursing,AU173,232,6,Atlantic Technological University,False,2025
Health,Pharmacy Technician,AU174,232,6,Atlantic Technological University,False,2025
Welfare,"Early Childhood Care, Health and Education",AU190,163,6,Atlantic Technological University,False,2025
Business and administration,Business - Common Entry,AU200,178,7,Atlantic Technological University,False,2025
Law,Law with Criminal Justice,AU210,232,7,Atlantic Technological University,False,2025
Personal services,Culinary Arts,AU220,187,7,Atlantic Technological University,False,2025
Personal services,Tourism and Hospitality Operations,AU221,262,7,Atlantic Technological University,False,2025
Personal services,Sport and Exercise,AU222,224,7,Atlantic Technological University,False,2025
Arts,Design - common entry,AU234,227,7,Atlantic Technological University,False,2025
Architecture and construction,Quantity Surveying,AU240,260,7,Atlantic Technological University,False,2025
Architecture and construction,Civil Engineering,AU241,298,7,Atlantic Technological University,False,2025
Architecture and construction,Construction - Common Entry,AU242,251,7,Atlantic Technological University,False,2025
Architecture and construction,Building Engineering - Common Entry,AU243,208,7,Atlantic Technological University,False,2025
Engineering and engineering trades,Mechanical Engineering,AU251,271,7,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Computer Games Development,AU260,268,7,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Computing,AU261,243,7,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Cybersecurity and Digital Forensics,AU262,242,7,Atlantic Technological University,False,2025
Biological and related sciences,Science - Common Entry,AU270,208,7,Atlantic Technological University,False,2025
Veterinary,Veterinary Nursing,AU271,409,7,Atlantic Technological University,False,2025
Agriculture,Agriculture,AU272,251,7,Atlantic Technological University,False,2025
,Inclusive Practice for Special Needs Assistance,AU290,232,7,Atlantic Technological University,False,2025
Business and administration,Business - Accounting,AU300,326,8,Atlantic Technological University,False,2025
Business and administration,Business,AU301,287,8,Atlantic Technological University,False,2025
Business and administration,Marketing with Online Technologies,AU302,300,8,Atlantic Technological University,False,2025
Law,LLB (Law),AU310,326,8,Atlantic Technological University,False,2025
Law,Corporate Law,AU311,301,8,Atlantic Technological University,False,2025
Arts,Communications with English,AU312,316,8,Atlantic Technological University,False,2025
Personal services,Sports and Exercise - Common Entry,AU320,300,8,Atlantic Technological University,False,2025
Personal services,Athletic Therapy and Exercise Rehabilitation,AU321,365,8,Atlantic Technological University,False,2025
Personal services,Hospitality Management,AU322,296,8,Atlantic Technological University,False,2025
Arts,Animation,AU331,301,8,Atlantic Technological University,False,2025
Arts,Film and Media Production,AU332,302,8,Atlantic Technological University,False,2025
Arts,Graphic Design and Illustration,AU333,309,8,Atlantic Technological University,False,2025
Arts,Fashion Design with Promotion,AU334,346,8,Atlantic Technological University,False,2025
Architecture and construction,Fire Safety Engineering,AU340,301,8,Atlantic Technological University,False,2025
Architecture and construction,Quantity Surveying,AU341,347,8,Atlantic Technological University,False,2025
Architecture and construction,Construction Management,AU342,327,8,Atlantic Technological University,False,2025
Architecture and construction,Architectural Technology,AU343,330,8,Atlantic Technological University,False,2025
Engineering and engineering trades,Mechanical Engineering,AU350,384,8,Atlantic Technological University,False,2025
Engineering and engineering trades,Electronic Engineering,AU351,307,8,Atlantic Technological University,False,2025
Engineering and engineering trades,Electric Vehicle Engineering,AU354,320,8,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Applied Computing,AU360,353,8,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Computer Science,AU361,307,8,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Cyberpsychology,AU362,300,8,Atlantic Technological University,False,2025
Information and Communication Technologies (ICTs),Computing in Data Science and Artificial Intelligence,AU363,371,8,Atlantic Technological University,False,2025
Biological and related sciences,Food Science and Nutrition,AU370,310,8,Atlantic Technological University,False,2025
Agriculture,Agriculture - Common Entry,AU371,312,8,Atlantic Technological University,False,2025
Biological and related sciences,Bioanalytical Science,AU372,348,8,Atlantic Technological University,False,2025
