Course Title,Course Code,R1 Points,HE Institution,AQA,Year,Points,Course Level,Category
Art and Design (Common Entry) [Portfolio] [Limerick],US800,816,Technological University of the Shannon,FALSE,2026,816,8,Arts
Art and Design (Offered jointly by TUS and UL) [Portfolio] [Limerick],US801,948,Technological University of the Shannon,FALSE,2026,948,8,Education
Animation and Illustration [Portfolio] [Athlone],US802,944,Technological University of the Shannon,FALSE,2026,944,8,Arts
Graphic and Digital Design [Portfolio] [Athlone],US803,792,Technological University of the Shannon,FALSE,2026,792,8,Arts
Digital Animation [Portfolio] [Clonmel],US805,691,Technological University of the Shannon,FALSE,2026,691,8,Arts
Game Art and Design [Portfolio] [Clonmel],US806,846,Technological University of the Shannon,FALSE,2026,846,8,Arts
Creative Broadcast and Film Production [Limerick],US807,308,Technological University of the Shannon,FALSE,2026,308,8,Arts
Music Production and Technology [Limerick],US808,356,Technological University of the Shannon,FALSE,2026,356,8,Arts
Music and Sound Engineering [Athlone],US809,316,Technological University of the Shannon,FALSE,2026,316,8,Arts
"Visual Effects for Film, TV and Animation [Portfolio] [Clonmel]",US810,,Technological University of the Shannon,FALSE,2026,,8,Arts
Interior Design [Portfolio] [Limerick],US811,919,Technological University of the Shannon,FALSE,2026,919,8,Arts
Music and the Live Events Industry [Athlone],US813,287,Technological University of the Shannon,FALSE,2026,287,8,Arts
Software Development with Cyber Security [Thurles],US819,272,Technological University of the Shannon,FALSE,2026,272,8,Information and Communication Technologies (ICTs)
Software Development [Limerick],US820,307,Technological University of the Shannon,FALSE,2026,307,8,Information and Communication Technologies (ICTs)
Software Design with Virtual Reality and Gaming [Athlone],US821,289,Technological University of the Shannon,FALSE,2026,289,8,Information and Communication Technologies (ICTs)
Software Design with Artificial Intelligence for Cloud Computing [Athlon,US822,306,Technological University of the Shannon,FALSE,2026,306,8,Information and Communication Technologies (ICTs)
Software Design with Digitalisation [Athlone],US823,283,Technological University of the Shannon,FALSE,2026,283,8,Information and Communication Technologies (ICTs)
Computer Engineering with Network Infrastructure [Athlone],US824,302,Technological University of the Shannon,FALSE,2026,302,8,Information and Communication Technologies (ICTs)
Creative Digital Computing [Limerick],US825,280,Technological University of the Shannon,FALSE,2026,280,8,Information and Communication Technologies (ICTs)
Computing with AI [Limerick],US826,270,Technological University of the Shannon,FALSE,2026,270,8,Information and Communication Technologies (ICTs)
Computer Networks and Cyber Security [Limerick],US827,269,Technological University of the Shannon,FALSE,2026,269,8,Information and Communication Technologies (ICTs)
Software Development with Games Programming [Thurles],US828,270,Technological University of the Shannon,FALSE,2026,270,8,Information and Communication Technologies (ICTs)
Business Studies (AI for Enterprise) [Athlone],US835,302,Technological University of the Shannon,FALSE,2026,302,8,Business and administration
Business Studies (AI for Enterprise) [Limerick],US836,413,Technological University of the Shannon,FALSE,2026,413,8,Business and administration
Law [Limerick],US837,377,Technological University of the Shannon,FALSE,2026,377,8,Law
Business and Law [Limerick],US838,298,Technological University of the Shannon,FALSE,2026,298,8,Business and administration
Business [Athlone],US840,280,Technological University of the Shannon,FALSE,2026,280,8,Business and administration
Business [Limerick],US841,328,Technological University of the Shannon,FALSE,2026,328,8,Business and administration
Business [Thurles],US842,253,Technological University of the Shannon,FALSE,2026,253,8,Business and administration
Business Studies (Digital Marketing) [Limerick],US843,308,Technological University of the Shannon,FALSE,2026,308,8,Business and administration
Digital Marketing [Athlone],US844,271,Technological University of the Shannon,FALSE,2026,271,8,Business and administration
Accounting and Finance [Limerick],US845,410,Technological University of the Shannon,FALSE,2026,410,8,Business and administration
Accounting with Finance (with Placement) [Athlone],US847,307,Technological University of the Shannon,FALSE,2026,307,8,Business and administration
Business and Law [Athlone],US848,262,Technological University of the Shannon,FALSE,2026,262,8,Law
Law [Athlone],US850,320,Technological University of the Shannon,FALSE,2026,320,8,Law
